Frame,Left Arm Angle,Right Arm Angle,Left Leg Angle,Right Leg Angle,CoM Velocity,Move Successful
33,93.26200688398886,141.82397118198762,162.87227978567114,163.9255789077655,0.1435123494982504,No
34,100.38944418448062,141.5747536646698,162.91609905029193,162.67049644323382,1.4733666023061427,No
35,115.6402705160612,138.00251584814896,162.68035351597632,162.18580395964108,0.6366290805446457,No
36,101.98436517583362,135.54700226046407,159.60680247236184,159.89569781532958,1.4474530227388978,No
37,115.53268914153136,137.8653753881969,165.83162289524807,161.35520075513668,0.6280958825415046,No
38,110.78884449965516,140.49842627796292,164.6719063302015,157.8490343164675,0.4266129283316726,No
39,109.31774921194412,148.03136271368646,165.79367053262038,156.32501644337484,0.5554791955114123,No
40,111.60268327133406,149.436307284607,167.09177354248075,153.43487098128395,0.2232574022162881,No
41,90.79161153609904,155.89952684480554,168.4911818378213,153.57877135892437,0.8837170635831642,No
42,129.53472153615837,157.0977142678529,173.59900339359558,154.18695401377587,0.5721235752436094,No
43,113.84699388125958,162.50908661969606,173.32356239382267,154.3881194863305,0.9261180641414046,No
44,96.35790579281542,171.1589522525196,169.4532281726645,150.89961721701226,0.1598922055987083,No
45,113.40241854389475,161.683740446717,166.59489680232736,150.03491771651693,0.3889830450727512,No
46,150.43292272219236,156.53135605862934,162.96399654762126,148.37936584419754,0.5990366382223913,No
47,149.90948386719822,159.03638702658014,167.091079411438,147.26045555487357,1.814935027167074,No
48,151.1342520619463,158.55519431508273,170.8983861538718,148.4182655641702,0.2389807903493224,No
49,149.0342961105945,159.24745522251695,169.42076631175055,149.9934494013483,0.4167836354481978,No
50,153.2822556117069,161.23087404276072,168.5072144934747,147.75793686805466,0.8106197149186931,No
51,152.44635578377196,162.40625003994532,169.18246632490758,145.679547278737,0.3153811725173753,No
52,153.91306612817468,162.87734583050562,169.69064477797326,146.37344250041195,0.1400189721225137,No
53,153.2468261634613,164.05765995467377,169.23049417711258,144.2864324743636,1.112688994560606,No
54,154.0021493437111,162.67419222330255,171.54620505651843,147.01959698557155,0.8494241761576012,No
55,153.65466677763084,159.86056575145818,173.1541619040213,150.19900274902432,0.7210954564888494,No
56,152.9025803545651,163.4901852211097,174.5483797065613,152.10072341398583,0.5856834121292686,No
57,150.97633505796887,162.93990334766102,175.35480913379007,149.89708912666762,0.4282027619677764,No
58,151.10822451983938,162.7188275371766,176.56719941998023,147.62130562125392,0.3012241382125134,No
59,153.4355883792373,163.09428579790344,176.79940856265034,145.92290003159573,0.1650571422516342,No
60,152.48792811460189,162.20062224152892,177.051323315039,141.05765468511046,0.4156307519722848,No
61,152.09517394163495,160.0313519547693,177.1864311521155,142.89161711285138,0.3263288821853233,No
62,151.4218423444546,161.12167387477143,176.27775365654935,142.9456222655953,0.2889961174603924,No
63,149.04602254375612,156.0823707621774,175.18824563898912,147.1370302446895,0.2446151894257521,No
64,148.38665949652548,149.32538565853372,171.4978686836765,147.4540699299052,0.2456208800391402,No
65,144.66086879940417,147.5919558459151,169.982045909945,148.0876256293698,0.645373466689527,No
66,148.48444221179562,147.65936579383543,175.13071461216742,150.53448383550582,0.0828752461835527,No
67,157.00682977393035,152.45298618111755,170.78038995415628,150.60028948784446,0.1875045831515853,No
68,160.0432712966955,147.93488041082782,170.35745843501005,151.41984851343568,0.929431291997302,No
69,159.62948531845308,161.7398329849273,167.05508448970582,152.4331928380068,0.5885911498597795,No
70,159.9820801907334,158.77433344756528,170.06495568877705,153.43117233970273,0.3240323250509021,No
71,160.6592598139116,163.8945893185845,175.60903090841785,157.42311538077757,0.3694565162387795,No
72,158.93971723008698,166.73376792597512,174.8693203314545,156.58230487030636,0.2915150253009286,No
73,158.67630785227328,169.75128933813815,172.1014956202509,164.36101014949708,0.6120871267184872,No
74,158.89890497152098,168.39163700715503,173.28576838854605,165.90653233585363,0.1930420658880299,No
75,152.53308556034486,166.47485845581215,176.44270606826456,172.1288952683519,0.7911300193968305,No
76,147.67038250608152,166.6830213764945,177.2575777384484,169.28482958834925,0.4108250281939182,No
77,155.66771980125958,167.32544064712962,177.2876622420344,169.47088122098816,0.2461411791338425,No
78,157.02448152171945,167.97680348985028,174.4078605823088,163.83968700753684,0.2196370588954768,No
79,157.78292731651243,168.00542977003795,167.62842330619296,157.09879670198654,0.3071188862195503,No
80,145.04521268033474,162.126513784765,172.15888534062876,158.4212494200571,1.682988253925403,No
81,148.99512294806533,160.09143015558917,66.56462047706505,97.78296378968628,0.2712513434463377,No
82,128.05117021389273,166.35887693655673,162.1742264164248,153.94709936204046,0.3759543428991103,No
83,144.50017377079573,158.30827863248706,27.447842380612094,51.11341291420953,0.3567518155751167,No
84,69.2430708834722,150.0255972842845,49.18315226872919,66.60175638840461,2.294673640231712,No
85,132.06462409252254,153.77792764349655,31.862010044676538,46.29937354316488,0.581864365205771,No
86,157.7794027706811,146.47974022042192,42.688491300689385,99.92936578986384,0.7930188100508807,No
87,153.80744576399772,126.4623732022752,141.19164859444044,137.2747878811117,0.4476332984090299,No
88,159.25281539056095,114.05469774214188,156.4784798439916,108.77054510561592,0.7477521324485723,No
89,151.8542224736924,108.82677890824,136.73781775165438,107.11770120926096,0.7998248883148121,No
90,151.8542224736924,108.82677890824,136.73781775165438,107.11770120926096,0.7998248883148121,No
91,151.8542224736924,108.82677890824,136.73781775165438,107.11770120926096,0.7998248883148121,No
92,151.8542224736924,108.82677890824,136.73781775165438,107.11770120926096,0.7998248883148121,No
93,151.8542224736924,108.82677890824,136.73781775165438,107.11770120926096,0.7998248883148121,No
